pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
11:1012,11:1012:state_only,visual-beta1-state-only-seed-11,11,1012,state_only,state_only,direct_reach,0,0.5781296491622925,0.001032808213494718,-10.173363164067268,24
11:1013,11:1013:state_only,visual-beta1-state-only-seed-11,11,1013,state_only,state_only,waypoint_reach,0,0.6240027546882629,0.0006763997953385115,-11.764220401644707,24
11:1014,11:1014:state_only,visual-beta1-state-only-seed-11,11,1014,state_only,state_only,direct_reach,0,0.6755102872848511,0.0008504843572154641,-12.144040331244469,24
11:1015,11:1015:state_only,visual-beta1-state-only-seed-11,11,1015,state_only,state_only,waypoint_reach,0,0.4704664647579193,0.0005601496668532491,-7.44381152652204,24
11:1016,11:1016:state_only,visual-beta1-state-only-seed-11,11,1016,state_only,state_only,direct_reach,0,0.7882716059684753,0.0009871645597741008,-13.88179925084114,24
11:1017,11:1017:state_only,visual-beta1-state-only-seed-11,11,1017,state_only,state_only,waypoint_reach,0,0.20522764325141907,0.0005598460556939244,-6.219777017831802,24
11:1018,11:1018:state_only,visual-beta1-state-only-seed-11,11,1018,state_only,state_only,direct_reach,0,0.19191832840442657,0.0018391540506854653,-4.980966657400131,24
11:1019,11:1019:state_only,visual-beta1-state-only-seed-11,11,1019,state_only,state_only,waypoint_reach,0,0.36970892548561096,0.00017011389718391,-6.915046513080597,24
11:1020,11:1020:state_only,visual-beta1-state-only-seed-11,11,1020,state_only,state_only,direct_reach,0,0.4052642285823822,0.0040216692723333836,-8.369497999548912,24
11:1021,11:1021:state_only,visual-beta1-state-only-seed-11,11,1021,state_only,state_only,waypoint_reach,0,0.3492143750190735,0.000746427453123033,-7.286263599991798,24
11:1022,11:1022:state_only,visual-beta1-state-only-seed-11,11,1022,state_only,state_only,direct_reach,0,0.8312874436378479,0.0009369144681841135,-15.890103697776794,24
11:1023,11:1023:state_only,visual-beta1-state-only-seed-11,11,1023,state_only,state_only,waypoint_reach,0,0.697506844997406,0.0005863379337824881,-12.8088458776474,24
22:1000,22:1000:control,visual-beta1-image-seed-22,22,1000,control,none,direct_reach,0,0.4269549548625946,0.0002700723416637629,-8.16865897923708,24
22:1001,22:1001:control,visual-beta1-image-seed-22,22,1001,control,none,waypoint_reach,0,0.35167866945266724,0.00035141227999702096,-9.961522072553635,24
22:1002,22:1002:control,visual-beta1-image-seed-22,22,1002,control,none,direct_reach,0,0.47964149713516235,0.00010672357893781736,-10.04429543018341,24
22:1003,22:1003:control,visual-beta1-image-seed-22,22,1003,control,none,waypoint_reach,0,0.30490368604660034,0.00034312193747609854,-6.064632683992386,24
22:1004,22:1004:control,visual-beta1-image-seed-22,22,1004,control,none,direct_reach,0,0.26992514729499817,0.008480892516672611,-8.84044298529625,24
22:1005,22:1005:control,visual-beta1-image-seed-22,22,1005,control,none,waypoint_reach,0,0.2877199947834015,5.021959441364743e-05,-6.8611485958099365,24
22:1006,22:1006:control,visual-beta1-image-seed-22,22,1006,control,none,direct_reach,1,0.05587923899292946,0.0001365922362310812,-0.73043417558074,4
22:1007,22:1007:control,visual-beta1-image-seed-22,22,1007,control,none,waypoint_reach,0,0.30717527866363525,0.00029152067145332694,-7.357804775238037,24
22:1008,22:1008:control,visual-beta1-image-seed-22,22,1008,control,none,direct_reach,0,0.3306291401386261,0.004799551330506802,-9.51635953783989,24
22:1009,22:1009:control,visual-beta1-image-seed-22,22,1009,control,none,waypoint_reach,0,0.29293960332870483,0.00030628370586782694,-8.609364241361618,24
22:1010,22:1010:control,visual-beta1-image-seed-22,22,1010,control,none,direct_reach,0,0.4314635694026947,0.0003690950688906014,-8.844574987888336,24
22:1011,22:1011:control,visual-beta1-image-seed-22,22,1011,control,none,waypoint_reach,0,0.27033713459968567,0.0003420987050049007,-6.062499105930328,24
22:1012,22:1012:control,visual-beta1-image-seed-22,22,1012,control,none,direct_reach,1,0.013629709370434284,0.00010330521035939455,-1.1785372095182538,5
22:1013,22:1013:control,visual-beta1-image-seed-22,22,1013,control,none,waypoint_reach,0,0.17025452852249146,0.000338228972395882,-4.784009292721748,24
22:1014,22:1014:control,visual-beta1-image-seed-22,22,1014,control,none,direct_reach,0,0.3599628806114197,0.0002323620137758553,-7.177386101335287,24
22:1015,22:1015:control,visual-beta1-image-seed-22,22,1015,control,none,waypoint_reach,0,0.2785198986530304,0.0003038987924810499,-6.632052317261696,24
22:1016,22:1016:control,visual-beta1-image-seed-22,22,1016,control,none,direct_reach,0,0.4509579837322235,0.0002691387489903718,-8.412497572600842,24
22:1017,22:1017:control,visual-beta1-image-seed-22,22,1017,control,none,waypoint_reach,0,0.37195539474487305,0.0003367747995071113,-10.904576659202576,24
22:1018,22:1018:control,visual-beta1-image-seed-22,22,1018,control,none,direct_reach,0,0.3013061583042145,0.004649621434509754,-8.863169699907303,24
22:1019,22:1019:control,visual-beta1-image-seed-22,22,1019,control,none,waypoint_reach,0,0.2887846529483795,0.00031488429522141814,-8.430795162916183,24
22:1020,22:1020:control,visual-beta1-image-seed-22,22,1020,control,none,direct_reach,0,0.36256128549575806,0.008260471746325493,-9.974800288677216,24
