pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
22:1018,22:1018:control,language-alpha2-seed-22,22,1018,control,none,reach_green_top,0,0.2261369377374649,0.009488094598054886,-9.138011947274208,40
22:1019,22:1019:control,language-alpha2-seed-22,22,1019,control,none,reach_green_top,0,0.5220153331756592,0.11893678456544876,-20.642693281173706,40
22:1020,22:1020:control,language-alpha2-seed-22,22,1020,control,none,reach_red_left,0,0.45443910360336304,0.023070478811860085,-18.062174797058105,40
22:1021,22:1021:control,language-alpha2-seed-22,22,1021,control,none,reach_red_left,0,0.15002426505088806,0.05133020877838135,-5.918904222548008,40
22:1022,22:1022:control,language-alpha2-seed-22,22,1022,control,none,reach_blue_right,0,0.38818591833114624,0.019370565190911293,-15.645212888717651,40
22:1023,22:1023:control,language-alpha2-seed-22,22,1023,control,none,reach_blue_right,0,0.8123515248298645,0.07860838621854782,-32.237857818603516,40
22:1000,22:1000:mask,language-alpha2-seed-22,22,1000,mask,mask,reach_green_top,0,0.3321433961391449,0.01961727999150753,-13.259166061878204,40
22:1001,22:1001:mask,language-alpha2-seed-22,22,1001,mask,mask,reach_green_top,0,0.33214354515075684,0.008443552069365978,-13.346852272748947,40
22:1002,22:1002:mask,language-alpha2-seed-22,22,1002,mask,mask,reach_red_left,0,0.50206059217453,0.0367855578660965,-19.912851214408875,40
22:1003,22:1003:mask,language-alpha2-seed-22,22,1003,mask,mask,reach_red_left,0,0.5020607113838196,0.043468061834573746,-19.86604544520378,40
22:1004,22:1004:mask,language-alpha2-seed-22,22,1004,mask,mask,reach_blue_right,0,0.20771881937980652,0.004213845357298851,-8.572127014398575,40
22:1005,22:1005:mask,language-alpha2-seed-22,22,1005,mask,mask,reach_blue_right,0,0.20771904289722443,0.00785547960549593,-8.50146196782589,40
22:1006,22:1006:mask,language-alpha2-seed-22,22,1006,mask,mask,reach_green_top,0,0.3321434259414673,0.018306635320186615,-13.259996175765991,40
22:1007,22:1007:mask,language-alpha2-seed-22,22,1007,mask,mask,reach_green_top,0,0.3321433365345001,0.024302931502461433,-13.237613052129745,40
22:1008,22:1008:mask,language-alpha2-seed-22,22,1008,mask,mask,reach_red_left,0,0.5020607113838196,0.04906393215060234,-19.903986781835556,40
22:1009,22:1009:mask,language-alpha2-seed-22,22,1009,mask,mask,reach_red_left,0,0.5020608305931091,0.04879758507013321,-19.84387618303299,40
22:1010,22:1010:mask,language-alpha2-seed-22,22,1010,mask,mask,reach_blue_right,0,0.20771892368793488,0.004442471545189619,-8.513753920793533,40
22:1011,22:1011:mask,language-alpha2-seed-22,22,1011,mask,mask,reach_blue_right,0,0.20771899819374084,0.007089700549840927,-8.475461676716805,40
22:1012,22:1012:mask,language-alpha2-seed-22,22,1012,mask,mask,reach_green_top,0,0.33214321732521057,0.023140545934438705,-13.233902961015701,40
22:1013,22:1013:mask,language-alpha2-seed-22,22,1013,mask,mask,reach_green_top,0,0.3321434259414673,0.012240657582879066,-13.343639314174652,40
22:1014,22:1014:mask,language-alpha2-seed-22,22,1014,mask,mask,reach_red_left,0,0.5020607113838196,0.03643808141350746,-19.939355224370956,40
22:1015,22:1015:mask,language-alpha2-seed-22,22,1015,mask,mask,reach_red_left,0,0.50206059217453,0.03924905136227608,-19.92514830827713,40
22:1016,22:1016:mask,language-alpha2-seed-22,22,1016,mask,mask,reach_blue_right,0,0.20771890878677368,0.005956101231276989,-8.494205668568611,40
22:1017,22:1017:mask,language-alpha2-seed-22,22,1017,mask,mask,reach_blue_right,0,0.20771896839141846,0.021712258458137512,-8.345272645354271,40
22:1018,22:1018:mask,language-alpha2-seed-22,22,1018,mask,mask,reach_green_top,0,0.33214354515075684,0.016736159101128578,-13.28215679526329,40
22:1019,22:1019:mask,language-alpha2-seed-22,22,1019,mask,mask,reach_green_top,0,0.33214351534843445,0.01314270868897438,-13.292923122644424,40
